"gene","coef","gene_symbol"
"(Intercept)",-3.11153251929793,NA
"ENSG00000080546",-0.0328995553190502,"SESN1"
"ENSG00000115523",0.256796191022896,"GNLY"
"ENSG00000125347",0.0273682076665558,"IRF1"
"ENSG00000134294",0.213995443987872,"SLC38A2"
"ENSG00000138207",-0.16660807186601,"RBP4"
"ENSG00000162929",-0.013635041583566,"KIAA1841"
"ENSG00000163710",-0.0329294851294207,"PCOLCE2"
"ENSG00000163735",-0.0192773180631169,"CXCL5"
"ENSG00000170323",-0.297027722223839,"FABP4"
"ENSG00000185897",0.223913109874483,"FFAR3"
"ENSG00000187608",0.0698501110316771,"ISG15"
"ENSG00000196139",-0.0191216604846581,"AKR1C3"
"ENSG00000204264",0.248667486181662,"PSMB8"
"ENSG00000272660",-0.0155171932006169,"AC090425.2"
